file,class,method,constructor,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/ReadCustomPropertySets.java,org.apache.poi.hpsf.examples.ReadCustomPropertySets,main/1[java.lang.String[]],false,52,2,1,2,6,0,2,1,52,0,0,0,0,0,1,2,0,0,0,0,0,24,9
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/ReadCustomPropertySets.java,org.apache.poi.hpsf.examples.ReadCustomPropertySets,ReadCustomPropertySets/0,true,42,0,1,0,2,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4,2
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/ReadCustomPropertySets.java,org.apache.poi.hpsf.examples.ReadCustomPropertySets,hex/1[byte[]],false,127,1,1,1,3,1,0,1,127,0,0,0,0,0,2,0,0,0,0,0,0,2,10
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/ReadCustomPropertySets.java,org.apache.poi.hpsf.examples.ReadCustomPropertySets$MyPOIFSReaderListener,processPOIFSReaderEvent/1[org.apache.poi.hpsf.examples.POIFSReaderEvent],false,66,5,5,17,33,1,10,1,66,2,0,1,0,14,3,11,9,2,0,0,0,37,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/ModifyDocumentSummaryInformation.java,org.apache.poi.hpsf.examples.ModifyDocumentSummaryInformation,main/1[java.lang.String[]],false,75,5,4,16,37,0,7,1,75,0,1,3,0,15,2,10,3,2,0,0,0,43,9
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle$ModifySICopyTheRest,"copy/4[org.apache.poi.hpsf.examples.POIFSFileSystem,org.apache.poi.hpsf.examples.POIFSDocumentPath,java.lang.String,org.apache.poi.hpsf.examples.PropertySet]",false,270,5,1,3,5,0,2,4,270,0,0,0,0,0,0,2,0,0,0,0,0,43,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle$ModifySICopyTheRest,"copy/4[org.apache.poi.hpsf.examples.POIFSFileSystem,org.apache.poi.hpsf.examples.POIFSDocumentPath,java.lang.String,org.apache.poi.hpsf.examples.DocumentInputStream]",false,291,5,2,7,10,0,4,4,291,1,1,0,1,0,1,4,0,0,0,0,0,41,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle$ModifySICopyTheRest,"editSI/4[org.apache.poi.hpsf.examples.POIFSFileSystem,org.apache.poi.hpsf.examples.POIFSDocumentPath,java.lang.String,org.apache.poi.hpsf.examples.PropertySet]",false,228,6,1,6,9,0,4,4,228,0,0,0,0,2,1,4,0,0,0,0,0,58,0
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle$ModifySICopyTheRest,"getPath/2[org.apache.poi.hpsf.examples.POIFSFileSystem,org.apache.poi.hpsf.examples.POIFSDocumentPath]",false,349,4,4,10,19,2,3,2,349,0,2,1,0,0,2,6,1,2,0,0,0,94,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle$ModifySICopyTheRest,processPOIFSReaderEvent/1[org.apache.poi.hpsf.examples.POIFSReaderEvent],false,156,6,6,8,30,0,5,1,156,0,1,2,0,2,0,6,1,4,0,0,0,48,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle$ModifySICopyTheRest,ModifySICopyTheRest/1[java.lang.String],true,144,1,1,0,4,0,0,1,144,0,0,0,0,0,0,2,0,0,0,0,0,37,0
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle$ModifySICopyTheRest,close/0,false,309,0,1,2,5,0,0,0,309,0,0,0,0,0,0,1,0,0,0,0,0,18,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle,main/1[java.lang.String[]],false,93,3,2,6,13,0,4,1,93,0,1,0,0,2,4,4,1,1,0,0,0,37,9
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteAuthorAndTitle.java,org.apache.poi.hpsf.examples.WriteAuthorAndTitle,WriteAuthorAndTitle/0,true,83,0,1,0,2,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,4,2
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare$CopyFile,processPOIFSReaderEvent/1[org.apache.poi.hpsf.examples.POIFSReaderEvent],false,164,6,6,6,26,0,5,1,164,0,2,2,0,2,0,7,1,3,0,0,0,48,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare$CopyFile,"copy/4[org.apache.poi.hpsf.examples.POIFSFileSystem,org.apache.poi.hpsf.examples.POIFSDocumentPath,java.lang.String,org.apache.poi.hpsf.examples.PropertySet]",false,222,7,4,3,19,0,2,4,222,0,0,1,0,0,0,4,0,2,0,0,0,38,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare$CopyFile,CopyFile/1[java.lang.String],true,153,1,1,0,4,0,0,1,153,0,0,0,0,0,0,2,0,0,0,0,0,35,0
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare$CopyFile,"getPath/2[org.apache.poi.hpsf.examples.POIFSFileSystem,org.apache.poi.hpsf.examples.POIFSDocumentPath]",false,316,4,4,9,20,2,3,2,316,0,2,1,0,0,2,6,1,2,0,0,0,94,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare$CopyFile,"copy/4[org.apache.poi.hpsf.examples.POIFSFileSystem,org.apache.poi.hpsf.examples.POIFSDocumentPath,java.lang.String,org.apache.poi.hpsf.examples.DocumentInputStream]",false,253,5,4,7,15,1,4,4,253,1,3,0,1,0,1,4,0,1,0,0,0,41,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare$CopyFile,close/0,false,277,0,1,2,5,0,0,0,277,0,0,0,0,0,0,1,0,0,0,0,0,18,1
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare,CopyCompare/0,true,70,0,1,0,2,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,2,2
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/CopyCompare.java,org.apache.poi.hpsf.examples.CopyCompare,main/1[java.lang.String[]],false,89,5,4,13,29,0,9,1,89,0,2,1,0,6,6,13,1,1,0,0,0,68,9
/projects3/poi/src/examples/src/org/apache/poi/hpsf/examples/WriteTitle.java,org.apache.poi.hpsf.examples.WriteTitle,main/1[java.lang.String[]],false,50,5,2,13,22,0,7,1,50,0,1,2,0,3,4,7,1,2,0,0,0,54,9
